"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"modena",1789,1,0,1,0,0,0,13,0,1,0
"modena",1790,1,0,0,0,0,0,13,0,1,0
"modena",1791,1,0,1,0,0,0,13,0,1,0
"modena",1792,1,0,1,0,0,0,13,0,1,0
"modena",1793,1,0,1,0,0,0,13,0,1,0
"modena",1794,1,0,0,0,0,0,13,0,1,0
"modena",1795,1,0,1,0,0,0,13,0,1,0
"modena",1796,1,0,1,0,0,0,13,0,1,0
"modena",1797,1,0,0,0,0,0,13,0,1,0
"modena",1798,1,0,1,0,0,0,13,0,1,0
"modena",1799,1,0,1,0,0,0,13,0,1,0
"modena",1800,1,0,1,0,0,0,13,0,1,0
"modena",1801,1,0,0,0,0,0,13,0,1,0
"modena",1802,1,0,1,0,0,0,13,0,1,0
"modena",1803,1,0,1,0,0,0,13,0,1,0
"modena",1804,1,0,0,0,0,0,13,0,1,0
"modena",1805,1,0,1,0,0,0,13,0,1,0
"modena",1806,1,0,0,0,0,0,13,0,1,0
"modena",1807,1,0,1,0,0,0,13,0,1,0
"modena",1808,1,0,1,0,0,0,13,0,1,0
"modena",1809,1,0,0,0,0,0,13,0,1,0
"modena",1810,1,0,1,0,0,0,13,0,1,0
"modena",1811,1,0,0,0,0,0,13,0,1,0
"modena",1812,1,0,1,0,0,0,13,0,1,0
"modena",1813,1,0,1,0,0,0,13,0,1,0
"modena",1814,1,0,0,0,0,0,13,0,1,0
"modena",1815,1,0,1,0,0,0,13,0,1,0
"modena",1816,1,0,0,0,0,0,13,0,1,0
"modena",1817,1,0,1,0,0,0,13,0,1,0
"modena",1818,1,0,1,0,0,0,13,0,1,0
"modena",1819,1,0,0,0,0,0,13,0,1,0
"modena",1820,1,0,1,0,0,0,13,0,1,0
"naples",1781,0,1,1,0,0,0,14,0,0,1
"naples",1782,0,1,2,0,0,0,14,0,0,1
"naples",1783,0,1,2,0,0,0,14,0,0,1
"naples",1784,0,1,2,0,0,0,14,0,0,1
"naples",1785,0,1,2,0,0,0,14,0,0,1
"naples",1786,0,1,2,0,0,0,14,0,0,1
"naples",1787,0,1,2,0,1,0,14,0,0,1
"naples",1788,0,1,2,0,0,0,14,0,0,1
